Match ID:840466, Blue: Aldo (dupe), Red: Jaguar OMF
Match ID:840204, Blue: Harrcianke 'The Warlock', Red: Poseidon
Match ID:839497, Blue: Madness Goomba, Red: Geese 98
Match ID:833544, Blue: The Mother Demon, Red: Nakoruru
Match ID:833543, Blue: Marcia Utterback, Red: The Mother Demon
Match ID:833500, Blue: Ayumi 'Osaka' Kasuga, Red: The Mother Demon
Match ID:833456, Blue: The Mother Demon, Red: Shin Valdoll
Match ID:833423, Blue: Wind MCXX, Red: The Mother Demon
Match ID:833417, Blue: The Mother Demon, Red: Classic Z-Gundam
Match ID:833373, Blue: Katana OMF, Red: The Mother Demon
Match ID:833370, Blue: The Mother Demon, Red: Doppelganger Vortex
Match ID:833152, Blue: CVS Kusanagi, Red: Shingo Yabuki Lv3
Match ID:830077, Blue: Shadow Dio FC / Viga, Red: Aldo (dupe) / Athena MA
Match ID:829039, Blue: VAC? Sniper ⇒ Bowser SSBB (old) ⇒ Ushio Kai Ni ⇒ Maximum Maxime, Red: Toatus ⇒ Neco-Arc MA ⇒ Gate ⇒ Shiki SV
Match ID:827487, Blue: Red Queen, Red: Sonans
Match ID:827465, Blue: Willow (dupe), Red: 02
Match ID:827364, Blue: CVS3 Griffon, Red: Willow (dupe)
Match ID:827276, Blue: NXC Ryu, Red: Willow (dupe)
Match ID:827276, Blue: NXC Ryu, Red: Willow (dupe)
Match ID:827266, Blue: Grand Dad, Red: Willow (dupe)
Match ID:827217, Blue: Goku Mastered, Red: Miranda (dupe)
Match ID:827147, Blue: CVS3 Rouga, Red: Willow (dupe)
Match ID:827139, Blue: Bear, Red: Willow (dupe)
Match ID:827104, Blue: Leona Heidern KOF-E, Red: Willow (dupe)
Match ID:827092, Blue: Willow (dupe), Red: Riki_K
Match ID:827082, Blue: Willow (dupe), Red: J-Morphing Man
Match ID:827058, Blue: Sailor Mars, Red: Willow (dupe)
Match ID:826990, Blue: Shizumaru LB2, Red: Willow (dupe)
Match ID:826763, Blue: J_Ukyo (dupe) / J_Ukyo, Red: Gemini Saga / Crash Bandicoot
Match ID:826756, Blue: Fox HCL ⇒ Apollo ⇒ Vegeta Z2 ⇒ CvTW Superman, Red: Diablo ⇒ Knuckles L6 (old) ⇒ Prinny Asagi ⇒ Adamas
Match ID:826721, Blue: J_Ukyo (dupe), Red: Rei'sen
Match ID:826718, Blue: J_Ukyo (dupe), Red: Miyuki FF
Match ID:826708, Blue: A-Rei, Red: J_Ukyo (dupe)
Match ID:825045, Blue: Knuckles L6 (old) / Knuckles L6 (old), Red: Gemini Saga
Match ID:824392, Blue: Antman (old), Red: Gohan SSJ4
Match ID:824164, Blue: Ganondorf SSB, Red: Aldo (dupe)
Match ID:823966, Blue: Ayatsuji Tsukasa / Seiya de Pegasus, Red: Bowser SSBB (old)
