name	division
'el	1
*_*	1
-385-	1
0	1
0.3 Varan	1
02-Nameless	1
15 Jhons Lee	1
1st R.S.P	1
2 Plus 2 Equals Death	1
20 Oxlajuj Ak'abal 12	1
20000	1
2nd Alsiel	1
2nd Death Star	1
3rd Astaroth	1
808080	1
A-Allen	1
A-B-D	1
A-Haoumaru	1
A-Kain	1
A-Rock	1
A-Rozwel	1
A-Tina	1
A-Zepia	1
A.I.Y.	1
Aaron Roulette	1
Abyss Mega'S	1
Abyss of Heaven	1
Abyss Watchers	1
Accelerator EX	1
Accelerator KA	1
Adel-HAAAAAi	1
Adelheid AZ	1
AhojinGod	1
Ahya EX	1
Aika MK	1
Aimatika	1
Aizen Sousuke	1
Akemi Miyazaki	1
Akiha-J	1
Akiha-R	1
Akuma X	1
Alelulia Brunestud	1
Alexandrite	1
Alice's Goliath Doll	1
Aligeltar	1
Alma Orochi	1
Almadel	1
Alpha Zero	1
Alucard EX	1
Amane Seresterite	1
Amaterasu Remilia	1
Amber Lamps	1
Amduscias	1
AMX-002 Neue Ziel	1
Annique Tewi	1
Anomalocaris	1
Anpanman	1
Anubis	1
Anzu	1
Apocalypse	1
Apolia Scarlet	1
Aqua Blaze Nitori	1
Arai-Jado	1
Arc	1
Arcadia ACE	1
Arch Mage Alice	1
Archimurderer	1
Ares EX	1
Arimund Seyfarth	1
Armor Vegeta Z2	1
Arrabella Rose	1
Arrange Mario	1
Arrange Vice	1
Arthas	1
Artificial Paranormal	1
Aruaru-Orochi	1
Ash Zako	1
Ash-M	1
Aspectus	1
Asura's Wrath	1
Athene	1
Atomic Dust Amiba	1
Atomic Ralf	1
Atomic Suika	1
Auau	1
Avatar of Evil	1
Avenger	1
Avenger Heidern	1
Awakened K-BW	1
Awakened Kyo	1
Awakened Spera	1
AwwMAwwKUwwSAww	1
Axeria	1
Aya	1
Ayanan_C	1
Ayu Ayu	1
Azazel	1
A_Flan	1
A_Geese	1
A_Hnki-Kyo	1
A_Nanaya	1
B-Adel	1
B-G-Zeus	1
B-Shindou	1
B-W-Oswald	1
B. Flandre Scarlet	1
B. Gustab M.	1
Bagan	1
Baka Gustab M.	1
Baldi	1
Banana Shiki	1
Barbatos	1
Barbatos Goetia	1
Barbatos Komachi D2	1
Barom	1
Baseball Angel Kana-chan	1
Battle Nanaya	1
Beast Yeorin	1
Beautiful Zantetsu	1
Beelzebub	1
Beelzebub-W	1
Beerus EX	1
Beerus the Destroyer	1
Ben	1
Berserk	1
Berserk Rugal	1
Berserk Sakuya	1
Berserker Misaki	1
Berserker-M	1
Beyond SSJ Blue Princess Peach	1
Bi-Lu-Zi	1
Bias Onslaught	1
Big Rugal	1
Biksionary	1
Bio's Revenge	1
Black & White Hina	1
Black Apocalypse	1
Black Core	1
Black Goddess Patchouli	1
Black Iku V2	1
Black Kulou	1
Black Rabi	1
Black Viper	1
Black White	1
Blade Dancer Gloria	1
Blanka-F	1
Blast Suika	1
Blaster	1
Blind Sage Gloria	1
Blizzard Sword Princess	1
Blond Wolf	1
Blood Berserker	1
Blood Disaster Suwako	1
Blood Evil Rindou	1
Blood Stain	1
Bloody Chaos	1
Bloody Darkness Rumia	1
Bloody Roa	1
Bloody Shimo	1
Blossom Princess Yuyuko	1
Blue Intense Wind Misaki	1
Blue Lin	1
Bomber Hugo	1
Boneless Sword	1
Bospider	1
Boss Adelheid	1
Boss Alvaaron	1
Boss Final Khriz	1
Boss Final Nao	1
Boss Gamma	1
Boss God Rugal	1
Boss Gustab M.	1
Boss Krizalid	1
Boss Kung Fu Man	1
Boss Magaki	1
Boss Meld	1
Boss Mery White	1
Boss Mukai	1
Boss Nao	1
Boss Omega Zero	1
Boss Orochi	1
Boss Oswald	1
Boss Tesse	1
Boss W.F. Kyo	1
Bou Ken	1
Boueie Defense Systems	1
Bousou Rozwel	1
Bouyou	1
Broom of Marisa	1
Budet	1
Bug Rei	1
Buster Kain	1
Buster Marco	1
Byakuren Azure	1
B_Komachi	1
C-F-Kain	1
C-Grant	1
C-Kyon	1
CA	1
Candy Vegito	1
Care Free Bomb	1
Case 666	1
Caser Yashiro	1
CCHouou	1
CD	1
Celene	1
Celene v2	1
Celene v3	1
Cell UB22	1
Chaos Suika	1
Charlotte PH	1
Cheapest KFM!!!	1
Cheatman	1
Chesspiece Royaloid	1
ChiEn	1
Chilly	1
Chin Star	1
Chipp Zanuff(GG)	1
Chirikas	1
Chizomeno	1
Cho-Binbo-Yorigami	1
Cho-Kichiku Rock	1
Christmas Misaki	1
Christmas Tharja	1
Chronus	1
Chuck Norris	1
Ciel_P	1
Clone Ash	1
Clone Jado	1
CO-OP Geni	1
Cobs	1
Code-Holder	1
Code: Crashed Killer	1
Code: Killed Destroyer	1
Code: Lacked Walker	1
Coffee Azteca	1
Colossus Magna	1
Colwell	1
Comprehensive Chocolate	1
Congelatio Gladiator	1
Conpaku Golem	1
Contractor Blackheart	1
Cool Beauty Aki Shimai	1
Cooler the 5th	1
Counterfelt K	1
Counterfelt Roswel	1
Crazy Anderson	1
Crazy Moon	1
Crazy Ralf	1
Crazy Toki	1
Crazy-Catastrophe	1
Cream Yagami	1
Criss	1
Crovax Mukai the Cursed	1
Cruelty Blood Arcueid	1
Cryptic White Knowledge tyP-v.SG	1
Cthugha	1
Cursed Adel	1
Cursed Misuzu	1
Cyclopes	1
C_Ada	1
C_Patchouli	1
D-Cirno	1
D-Daiki	1
D-Kanna	1
D-Lion	1
D-Nariyuki-E	1
D-Tenshi	1
D. Morden	1
D. Pandora's Box	1
D. Shadow	1
D0 Orochi	1
D2 Dragonewt	1
Dai Seki Mon	1
Dank Meme Len	1
Danmaku Kain	1
Dantalion Alice	1
Dark Alice	1
Dark Donald	1
Dark Evil +Q	1
Dark God Nao	1
Dark Gustab M.	1
Dark Ikumin	1
Dark Lord	1
Dark Makai	1
Dark Morrigan	1
Dark Police Zero	1
Dark Ruler is still boring you idiots	1
Dark Souls Zero	1
Dark Spawn Sonic	1
Darkness Rozwel G.	1
Dark★Orochi	1
DBS Vegeta	1
DBZ Goku	1
DD-Rumia	1
DDD Len	1
Deadly Surgeon	1
Deadly Tracker	1
Death DHL	1
Death DHL & Kenshin	1
Death Rebecca	1
Death Starla	1
Death UMA	1
Death-o	1
DeathKaTen	1
Deified Neo Meep140	1
Deka Kohaku	1
Deka Nanaya	1
Deka Tohno	1
Dekinaiko Santa	1
Demitri-A	1
Demon Yagami	1
Destrud Nero	1
Destrudia	1
Deth Kyo	1
Devourer Element	1
DhalsimsS	1
Die-chan	1
Dio K1	1
Dion	1
Diyu	1
DM PerKO	1
DNMK-Kyouko	1
Doge	1
Dolphins	1
Donaemon Type-D	1
Donald 0D	1
Donald Broli	1
Doom Bringer	1
Doruge	1
Dr. Manhattan	1
Dracula Rai	1
Dragon Edition Blanka	1
Dragon Edition Ken	1
Dragon Edition Zangief	1
Dragon Fairy	1
Drakyola	1
Dream Eater	1
DRRPG	1
Dual Shiki	1
Dual-flame Magaki	1
Duane	1
Dusk Elque	1
Dusk Knight	1
Dwayne Johnson	1
Dynamic Super Mario	1
Dyspo	1
D_Komachi	1
E-Youmu	1
Eclipse Shinki	1
Einherjar Red Milite	1
Einherjar White Milite	1
El Presidente	1
El Yukari	1
Element Sagat	1
Element_K	1
Emblasir	1
Emerald	1
Emily-sama	1
Enja	1
Enlil	1
Envia	1
EO3 - Kraken	1
Eradicator	1
Erina_A	1
Esverl	1
Eternal Little Girl	1
ETK Geese	1
Evchaea Evolutio	1
Eve Justice	1
EX Agito	1
EX Red King	1
EX Rugal	1
EX-F-Meiling	1
Executor	1
Exelica	1
Exiled Princess	1
Existance	1
Exodia	1
Explosive Krizalid	1
Extreme Cirno	1
Extreme Dark Akuma	1
Extreme-o-saur	1
E_R_M	1
F-D-Flan	1
Fairys-chan	1
Fallen Sanae	1
Falling Night	1
Famardy	1
Fateful Fighter	1
Felix 3rd	1
Figare	1
Final Adel	1
Final Boss Thanos	1
Final Element Kyo	1
Final Orochi	1
Final Rozwel S.K-L	1
Final Rugal	1
Final Satsujinki	1
Final Sigma W	1
Final Zeroko	1
Final Zeroko EX	1
Finale Sula	1
Fire-Chicken	1
Five King	1
Flame Holding Dragon	1
Flame Priestess Saki	1
Flames Iori Yagami	1
Flandre Overhaul Scarlet	1
Flandre Scarlet CV	1
Flea	1
Fleet of Legend NEET Orochi's	1
Fliz SP	1
Fliz-DGF	1
Foolish and mystical little girl	1
Forbidden Knowledge	1
Formula 91	1
Forte	1
Fortissimo_R	1
Fortuna	1
Fortuna Suwako	1
Fraza	1
Freedom Nitoris	1
Frozen Heart	1
FT-Kyo	1
FT-Neroa	1
Fuma FC	1
Funny Kain	1
Funny Mario	1
Future Trunks EX	1
F_Orochi	1
G-Gonzales	1
G-Hisame Shizumaru	1
G-Kanna_K	1
G-KO-chan	1
G-Komachi	1
G-Lilith	1
G-Mizuka_SK	1
G-Rugal	1
G-Senna	1
Galacta Nightmare	1
Gallon-A	1
Gamerizer	1
Ganymede	1
Gao-gao-gao!!	1
Garuda_G	1
Garugadiora	1
Gary the King Snail	1
Gatanothor	1
Gatotyuman	1
Geek Emperor	1
Geese YS	1
Geirolul	1
Geki-Tokies	1
General Daiyousei	1
